colorspace,histbin,n_predict,nfeatures,predict_secs,spatial,test_accy,train_secs
HSV,20,10,828,0.00241,16,0.9742,0.15
RGB,20,10,3132,0.00241,32,0.9742,2.37
HLS,24,10,504,0.00242,12,0.9742,0.11
HSV,20,10,1788,0.00243,24,0.9742,0.57
HLS,20,10,252,0.00246,8,0.9742,0.08
YUV,36,10,1836,0.00246,24,0.9742,0.97
YCrCb,36,10,3180,0.00247,32,0.9742,2.01
LUV,36,10,1836,0.00249,24,0.9742,0.7
HLS,36,10,2460,0.00252,28,0.9742,0.62
YUV,28,10,852,0.00253,16,0.9742,0.37
YUV,36,10,2460,0.00254,28,0.9742,1.23
RGB,20,10,828,0.00261,16,0.9742,0.41
YCrCb,20,10,252,0.00193,8,0.972,0.1
RGB,24,10,504,0.00193,12,0.972,0.21
LUV,24,10,1272,0.00238,20,0.972,0.76
LUV,20,10,492,0.0024,12,0.972,0.25
YUV,32,10,1824,0.00242,24,0.972,0.85
LUV,20,10,2412,0.00242,28,0.972,1.87
YUV,24,10,1800,0.00243,24,0.972,1.28
YUV,24,10,2424,0.00245,28,0.972,1.96
LUV,20,10,3132,0.00246,32,0.972,2.42
HLS,28,10,516,0.00247,12,0.972,0.14
HLS,24,10,1800,0.00248,24,0.972,0.57
YCrCb,24,10,1800,0.00248,24,0.972,0.9
YUV,32,10,864,0.00249,16,0.972,0.3
YCrCb,28,10,2436,0.00249,28,0.972,1.66
YUV,20,10,828,0.0025,16,0.972,0.48
LUV,28,10,852,0.00252,16,0.972,0.33
LUV,28,10,2436,0.00252,28,0.972,1.63
RGB,32,10,1296,0.00254,20,0.972,0.63
HLS,24,10,3144,0.00255,32,0.972,1.66
HLS,20,10,3132,0.00257,32,0.972,1.16
RGB,32,10,288,0.00193,8,0.9699,0.11
YCrCb,24,10,1272,0.00237,20,0.9699,0.71
YCrCb,32,10,1824,0.00242,24,0.9699,0.75
LUV,28,10,1284,0.00243,20,0.9699,0.59
LUV,24,10,2424,0.00243,28,0.9699,1.83
HSV,32,10,2448,0.00244,28,0.9699,0.57
HSV,24,10,1800,0.00246,24,0.9699,0.51
LUV,24,10,1800,0.0025,24,0.9699,0.83
YUV,40,10,1848,0.0025,24,0.9699,0.95
HLS,28,10,3156,0.0025,32,0.9699,1.2
YCrCb,28,10,3156,0.00251,32,0.9699,2.21
LUV,32,10,2448,0.00252,28,0.9699,1.48
YUV,20,10,1788,0.00253,24,0.9699,1.24
YCrCb,20,10,1260,0.0018,20,0.9677,0.81
RGB,24,10,2424,0.00188,28,0.9677,1.73
LUV,20,10,1788,0.0025,24,0.9677,1.34
HLS,20,10,1260,0.00251,20,0.9677,0.31
YUV,28,10,1812,0.00251,24,0.9677,0.89
LUV,28,10,1812,0.00253,24,0.9677,0.81
LUV,36,10,2460,0.00253,28,0.9677,0.98
HLS,40,10,1848,0.00254,24,0.9677,0.33
LUV,20,10,828,0.00183,16,0.9656,0.46
RGB,20,10,2412,0.00198,28,0.9656,1.81
YUV,20,10,1260,0.00248,20,0.9656,0.87
YCrCb,32,10,3168,0.00251,32,0.9656,1.57
YUV,32,10,3168,0.00205,32,0.9634,2.45
HLS,20,10,2412,0.00244,28,0.9634,0.75
YCrCb,28,10,1812,0.00244,24,0.9634,0.8
YCrCb,24,10,2424,0.00249,28,0.9634,1.81
YCrCb,20,10,3132,0.00254,32,0.9613,2.4
YCrCb,20,10,1788,0.0025,24,0.9591,1.33
HLS,32,10,1824,0.00254,24,0.9591,0.43
YCrCb,20,10,828,0.00249,16,0.957,0.45
LUV,28,10,3156,0.00249,32,0.957,1.93
HLS,32,10,3168,0.00249,32,0.9548,1.59
LUV,24,10,3144,0.0025,32,0.9505,2.44
YUV,24,10,3144,0.00254,32,0.9505,1.98
YUV,20,10,2412,0.00255,28,0.9484,1.96
YCrCb,20,10,2412,0.00249,28,0.9419,1.82
